Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD),Change%
BTC,12/20/2018,4065.799953,3709.323532,4160.296726,3662.743439,0.096104813
BTC,12/21/2018,3824.739794,4065.773617,4164.550651,3774.323684,-0.059289724
BTC,12/22/2018,3862.726329,3838.230387,3929.859591,3791.905375,0.009931796
BTC,12/23/2018,3949.794342,3862.726329,4052.230547,3862.722999,0.02254056
BTC,12/24/2018,4054.29626,3942.737776,4241.436134,3942.669448,0.026457559
BTC,12/25/2018,3767.350024,4030.003413,4045.572084,3677.043649,-0.070775843
BTC,12/26/2018,3807.153022,3767.872104,3869.401164,3682.681845,0.010565251
BTC,12/27/2018,3587.198223,3809.295204,3842.311793,3571.152376,-0.057774089
BTC,12/28/2018,3865.5293,3587.235351,3945.244649,3558.737717,0.077590102
BTC,12/29/2018,3725.48,3888.06,3941.09,3703.02,-0.036230304
BTC,12/30/2018,3832.4,3728.96,3864.73,3689.6,0.028699657
BTC,12/31/2018,3689.56462,3689.972338,3690.306792,3689.47512,-0.037270478
BTC,1/1/2019,3715.564441,3693.330067,3741.881855,3644.876282,0.007046853
BTC,1/2/2019,3882.304754,3715.564384,3900.709127,3711.274108,0.044876173
BTC,1/3/2019,3795.592741,3882.303622,3916.197684,3760.944042,-0.02233519
BTC,1/4/2019,3812.381108,3781.020706,3844.986111,3725.739663,0.004423121
BTC,1/5/2019,3809.914343,3812.381119,3866.417432,3775.828878,-0.000647041
BTC,1/6/2019,4014.133187,3797.034097,4063.945356,3758.516526,0.053601952
BTC,1/7/2019,3989.631741,4032.459166,4060.8648,3526.139278,-0.006103795
BTC,1/8/2019,3992.986144,3989.631753,4096.383035,3947.035924,0.00084078
BTC,1/9/2019,3995.325193,3981.9383,4023.73449,3965.976346,0.000585789
BTC,1/10/2019,3617.346291,3995.325181,4025.528311,3570.07696,-0.094605291
BTC,1/11/2019,3606.16489,3617.268962,3676.732346,3572.674979,-0.003091051
BTC,1/12/2019,3611.528238,3609.129566,3644.344105,3564.627889,0.001487272
BTC,1/13/2019,3497.669392,3614.420848,3642.047723,3480.83289,-0.0315265
BTC,1/14/2019,3654.347067,3497.669615,3696.069001,3488.718715,0.044794878
BTC,1/15/2019,3568.751259,3653.680318,3679.703656,3544.429551,-0.02342301
BTC,1/16/2019,3593.72174,3568.682666,3662.918729,3567.148796,0.00699698
BTC,1/17/2019,3623.717337,3603.551637,3644.731298,3546.309687,0.008346667
BTC,1/18/2019,3605.855187,3623.7175,3641.961038,3578.425318,-0.004929234
BTC,1/19/2019,3690.908564,3605.855117,3735.35654,3602.420476,0.023587574
BTC,1/20/2019,3544.221724,3680.284747,3701.454802,3490.703684,-0.039742746
BTC,1/21/2019,3528.463529,3544.221816,3558.233818,3496.602642,-0.004446165
BTC,1/22/2019,3581.551947,3528.463928,3605.741677,3444.686471,0.015045761
BTC,1/23/2019,3549.770799,3572.68895,3608.876902,3521.835474,-0.008873569
BTC,1/24/2019,3562.920476,3555.861961,3591.593897,3530.547309,0.003704374
BTC,1/25/2019,3566.666164,3571.808887,3574.12437,3522.424187,0.001051297
BTC,1/26/2019,3563.27801,3566.666225,3648.499903,3541.170987,-0.00094995
BTC,1/27/2019,3539.620947,3563.160202,3564.954936,3481.38447,-0.006639129
BTC,1/28/2019,3425.262161,3530.20371,3541.417161,3374.463901,-0.032308201
BTC,1/29/2019,3395.018645,3429.707749,3438.068371,3346.143188,-0.008829548
BTC,1/30/2019,3441.032215,3395.224799,3460.23195,3371.688746,0.01355326
BTC,1/31/2019,3420.633227,3434.521847,3471.247461,3394.284634,-0.00592816
BTC,2/1/2019,3439.805699,3412.722219,3454.414301,3375.731683,0.005604948
BTC,2/2/2019,3433.035285,3440.076847,3453.694339,3409.541106,-0.001968255
BTC,2/3/2019,3404.499313,3433.044895,3487.571973,3386.579366,-0.00831217
BTC,2/4/2019,3412.230431,3417.022943,3442.638096,3393.99421,0.002270853
BTC,2/5/2019,3419.767899,3412.230378,3433.689632,3398.955745,0.002208956
BTC,2/6/2019,3367.519032,3428.981335,3441.92046,3344.124422,-0.015278483
BTC,2/7/2019,3360.534076,3365.529473,3380.783837,3349.75599,-0.002074214
BTC,2/8/2019,3591.022152,3360.534447,3702.481571,3343.343493,0.06858674
BTC,2/9/2019,3617.46468,3621.627386,3638.49429,3590.289224,0.00736351
BTC,2/10/2019,3621.154003,3617.464502,3631.038219,3577.980093,0.001019864
